Designator,Mid X,Mid Y,Rotation,Layer
D1,148.959502,-77.760064,90.0,bottom
D2,168.009518,-77.760064,90.0,bottom
D3,187.059534,-77.760064,90.0,bottom
D4,148.959502,-96.81008,90.0,bottom
D5,168.009518,-96.81008,90.0,bottom
D6,187.059534,-96.81008,90.0,bottom
J2,131.100112,-58.392552,0.0,top
S1,139.434486,-76.54756,0.0,top
S2,158.48451,-76.547568,0.0,top
S3,177.534526,-76.547568,0.0,top
S4,139.434494,-95.597584,0.0,top
S5,158.48451,-95.597584,0.0,top
S6,177.534526,-95.597584,0.0,top
SW1,177.534526,-57.376613,0.0,top
U1,158.586079,-59.186308,0.0,bottom
